Rating,Reviews
1,"Don't trust on mi mobile very poor performance. Display of this mobile is below to average. Mobile have a 4 gb ram but it is hanging so many time. Ram management very poor and weak.
Charging of this mobile taking 2 to 3 hours. But battery drains to 15 % in first 13 minutes.

Cemara of this mobile very poor feeling like 10 to 12 mega pixels. Front cemara dis appointed you. When watching selfies taken from this mobile you feel us fool . Details of images very bad.

Display of this mobile like ...
READ MORE"
1,Bad camera quality
1,Facing this type issue in mobile .
1,"Reviewing again after 5 months. At the beginning the battery and performance was good but it degraded soon. Also I was facing heating issues. The mobile will heat up like a stove sometimes. You cannot even play Pubg even in low settings properly, performance is not a problem but heating is. Also if you play that game for 10 mins the brightness will be automatically down due to over heating even when the auto brightness is set to off. This will not be solved even if u manually increase the bri...
READ MORE"
1,"Phone is awesome no doubt. But Camera & Display is not great. Performance is mind blowing.
But the phone is heating too much when charging or when you regularly used. It's experience after using 1 week. It's heating extrem when I play PUBG for 30 minutes.
Go for iPhone 11 pro or 12. Otherwise go for Android phone you will get much better phone in less price."
1,"Worst product delivered by Flipkart
After 10days of delivery mobile will not work properly
Volume and silent buttons are not working.
No worth to buy in Flipkart.
Please don’t buy apple products in Flipkart"
1,"Looks wise ok,but performance and speed wise zero ....samsung mobiles are worst in low and medium range its proved onece again"
1,Don't buy mobile phone from Flipkart
1,Camera is very poor and set is not smooth enough
1,"Samsung very full slow weest phone money weest
No buy it very bad 😡"
1,"After purchasing the phone and within a week, it started to switch off and not getting started
When taken to customer care centre they said that it was some small glitch and after rebooting it'll work fine, but the problem persisted and is still there
Do not understand where to take this phone now
It is a dead phone for us now

Did not expect to get a phone with such poor support
We were looking to buy Made in India and non Chinese hence ended up buying this

Pathetic experience"
1,"LTE supported device not supports 4G, hence net connectivity is very slow."
1,"Camera qulity low, phone hang, display not work, chrging prblm, speaker problm, calling volume isuses"
1,Don't buy this phone..... Don't do the same mistake I did
1,Low RAM 2gb & 4Gb Not 6Gb at a time
1,Hanging issue
1,"Dirty mobile, don't waste your money"
1,"In case of price it's better to buy another mobile
I Just paid that high amount for the brand
Waste of money"
1,Camera very poor ..Don't buy ..
1,Camera 50 m p not good
1,"I bought this mobile on May 20th and I write review on July 5, 2022. This is not worth for money.
The main problems are,
Battery,
Camera,
Mobile hanging

It is fast charging mobile but it takes 2:30 hours to charge fully

This is 50mb camera mobile. But not worth for even 13mb.

With fewer apps itself it hanged sometimes."
1,"Camara, picture very poor.and screen parformance is very bad. Weste of money this phone."
1,Battery charging is very slow
1,Totally waste of money. Camera quality rear and front is very poor. No fast charging. Take 3 hours to get 100% charge. Don't go for it .
1,Audio🔊 quality is so poor...
1,Mobile charging time heating problem
1,"Don't buy this because always hanging
5 hours full charge battery and very worst phone please please please dont buy the phone 🙏🙏🙏🙏"
1,"Don't trust on mi mobile very poor performance. Display of this mobile is below to average. Mobile have a 4 gb ram but it is hanging so many time. Ram management very poor and weak.
Charging of this mobile taking 2 to 3 hours. But battery drains to 15 % in first 13 minutes.

Cemara of this mobile very poor feeling like 10 to 12 mega pixels. Front cemara dis appointed you. When watching selfies taken from this mobile you feel us fool . Details of images very bad.

Display of this mobile like ...
READ MORE"
1,Bad camera quality
1,Facing this type issue in mobile .
1,Very bad mobile c33
1,"Camera poor mainly front one...
Performance average...
Design outstanding.."
1,"This is wasting of money, don't have its own app, google map is also not working,, totally old version, lo network range in any network operater.."
1,Not to buy from Flipkart
1,1 start
1,"Camera is worsted even 8 mp is better than it
Overall don't buy it"
1,Not satisfied
1,"Gallery, music app missing very bad software system...😡😡😡"
1,Very bad mobile c33
1,"Camera poor mainly front one...
Performance average...
Design outstanding.."
1,"This is wasting of money, don't have its own app, google map is also not working,, totally old version, lo network range in any network operater.."
1,Not to buy from Flipkart
1,1 start
1,"Camera is worsted even 8 mp is better than it
Overall don't buy it"
1,Not satisfied
1,"Gallery, music app missing very bad software system...😡😡😡"
1,"The design and screen of mobile is only good.

Camera is very bad
No inbuilt apps like gallery, file manager, theme store.. this thing is very worst.. I have never seen this on any mobiles..
Performance is like dumb

Summary: Great look with worst nd dumb performance

Don't buy this"
1,Don't buy this product west of Money .. charging is too much Problem
1,Display quality very bad
1,"There are many problems in this phone Just like network problem,some AAP's are not working properly ex-doubtnut aap is not supported this phone
And there are many problems"
1,Vary bad camera quality
1,"the product camera quality is too poor , and if you talk to anynone approximately 15 mins Phone start heating..,.... main issue camera quality is not acceptable"
1,Not a good phone don't waste your money....
1,Worst product I received it stopped working after 10days and now I am not able to return it.
1,Battery low
1,Nice 👍
1,Bad product
1,Mobile heating battery is low charging
1,Solw performance
1,Camera quality is very poor like 2 mega pixel not 50 mega pixel
1,Worlds worst phone
1,"If anyone planning to purchase this product then , Don't purchase this it's full of useless things and having zero features.,😡😡😡😡😡"
1,Very bad performance
1,"The design and screen of mobile is only good.

Camera is very bad
No inbuilt apps like gallery, file manager, theme store.. this thing is very worst.. I have never seen this on any mobiles..
Performance is like dumb

Summary: Great look with worst nd dumb performance

Don't buy this"
1,Don't buy this product west of Money .. charging is too much Problem
1,Display quality very bad
1,"There are many problems in this phone Just like network problem,some AAP's are not working properly ex-doubtnut aap is not supported this phone
And there are many problems"
1,Vary bad camera quality
1,"the product camera quality is too poor , and if you talk to anynone approximately 15 mins Phone start heating..,.... main issue camera quality is not acceptable"
1,Not a good phone don't waste your money....
1,Worst product I received it stopped working after 10days and now I am not able to return it.
1,Battery low
1,Nice 👍
1,Bad product
1,Mobile heating battery is low charging
1,Solw performance
1,Camera quality is very poor like 2 mega pixel not 50 mega pixel
1,Worlds worst phone
1,"If anyone planning to purchase this product then , Don't purchase this it's full of useless things and having zero features.,😡😡😡😡😡"
1,Very bad performance
1,"The design and screen of mobile is only good.

Camera is very bad
No inbuilt apps like gallery, file manager, theme store.. this thing is very worst.. I have never seen this on any mobiles..
Performance is like dumb

Summary: Great look with worst nd dumb performance

Don't buy this"
1,Don't buy this product west of Money .. charging is too much Problem
1,Display quality very bad
1,"There are many problems in this phone Just like network problem,some AAP's are not working properly ex-doubtnut aap is not supported this phone
And there are many problems"
1,Vary bad camera quality
1,"the product camera quality is too poor , and if you talk to anynone approximately 15 mins Phone start heating..,.... main issue camera quality is not acceptable"
1,Not a good phone don't waste your money....
1,Worst product I received it stopped working after 10days and now I am not able to return it.
1,Battery low
1,Nice 👍
1,Bad product
1,Mobile heating battery is low charging
1,Solw performance
1,Camera quality is very poor like 2 mega pixel not 50 mega pixel
1,Worlds worst phone
1,"If anyone planning to purchase this product then , Don't purchase this it's full of useless things and having zero features.,😡😡😡😡😡"
1,Very bad performance
1,Item is not good. Screen flickering issue. Hearing sounds unnecessarily.Apps are not working properly. Bad product.
1,"Cheating
Don't buy this...it's camera is so cheap
I bought this so fed up..."
1,This phone quality is very poor and camera so bad fully vested our money and Flipkart services so bad I have request three time return but all times are rejected my return request by Flipkart
1,"bad quality, hanging problem."
1,The biggest problem with this mobile is network. Touch sensor doesn't work very well
1,Found more hang during mobile usage. I expected POCO brand is better comparing to others. But now POCO brand spoiled my thinking.
1,Both Camera quality is very bad and as same price moto e 40 gives good picture quality and screen is not too good not satisfied just loss of money to buy this phone .. I advice all don't buy poco mobile
1,"I bought this mobile on May 20th and I write review on July 5, 2022. This is not worth for money.
The main problems are,
Battery,
Camera,
Mobile hanging

It is fast charging mobile but it takes 2:30 hours to charge fully

This is 50mb camera mobile. But not worth for even 13mb.

With fewer apps itself it hanged sometimes."
1,"Camara, picture very poor.and screen parformance is very bad. Weste of money this phone."
1,Battery charging is very slow
1,Totally waste of money. Camera quality rear and front is very poor. No fast charging. Take 3 hours to get 100% charge. Don't go for it .
1,Audio🔊 quality is so poor...
1,Mobile charging time heating problem
1,"Don't buy this because always hanging
5 hours full charge battery and very worst phone please please please dont buy the phone 🙏🙏🙏🙏"
1,"Don't trust on mi mobile very poor performance. Display of this mobile is below to average. Mobile have a 4 gb ram but it is hanging so many time. Ram management very poor and weak.
Charging of this mobile taking 2 to 3 hours. But battery drains to 15 % in first 13 minutes.

Cemara of this mobile very poor feeling like 10 to 12 mega pixels. Front cemara dis appointed you. When watching selfies taken from this mobile you feel us fool . Details of images very bad.

Display of this mobile like ...
READ MORE"
1,Bad camera quality
1,Facing this type issue in mobile .
1,Very bad mobile c33
1,"Camera poor mainly front one...
Performance average...
Design outstanding.."
1,"This is wasting of money, don't have its own app, google map is also not working,, totally old version, lo network range in any network operater.."
1,Not to buy from Flipkart
1,1 start
1,"Camera is worsted even 8 mp is better than it
Overall don't buy it"
1,Not satisfied
1,"Gallery, music app missing very bad software system...😡😡😡"
1,Plz Don't Buy This Phon Any One Camera Quality Is Verry Poor Battery fast verry Discharge. Hating Problm.. After using 8 days. Only This phon Suport airtel Sim so plz Suggest Don't buy This Phone
1,I purchased this Realme C30 in last week. But it is not mentioned that it will only work with AIRTEL sim. Actually the real situation is this phone will work only with AIRTEL sim. The phone is locked with an Airtel Lock.
1,"Never purchase this phone,and replacement policy is very bad.do'nt waste Ur money"
1,The mobile is overall good in this price but the service of flipkart is not at all good at this time
1,Not good
1,This is not good in this range
1,I received not working internal demage products... I already many time complaint but they didn't solution and they didn't return our realme C30... Plz don't buy. Bad to worst products... Plz do solution soon as possible
1,Not value for money
1,"Worst phone do not waste your 💰 money..if u complain about issue of performance.. Flipkart is goona show u their back..worst experience,."
1,Bad mobile
1,"Don't buy this mobile, the product is very bad, work only airtel incoming calls"
1,The phone is good. Just the camera is under average. Would have been happier if the camera was decent and 3gb ram.
1,bad camara
1,"Unsatisfied with the phone , and Flipkart service."
1,Very disappointed..ram management is very very bad...battery drain so fast as normal uses...I don't know why it's happen...it's provide 5000 mah battery but still drain too fast
1,This phone hitting problem display quality is very low and change very slow 3 hours charging time don't best money this phone
1,Phone get lock if Airtel sim not interested in phone 😔😔
1,Sound quality is very poor don't by this phone weast of money
1,"worst product don't buy this camera not good sound not good
and also without airtel sim, you can not use this phone"
1,"Looked by airtel, this is not a good thing and this product is very bad from flipkart, if it is banded by airtel offer, otherwise there is no such cheap online shopping market like flipkart."
1,Bad Smartphone
1,Bad
1,Don't bay this product
1,I want to return this mbl ...waste of money. ....that rubbish Airtel lock
1,Very poor performance this phone ...pls not buy this phone ..I am very disappoint buy this phone
1,Waste mobile realme
1,Jio phone no supporting not good
1,Third class phone
1,Plz Don't Buy This Phon Any One Camera Quality Is Verry Poor Battery fast verry Discharge. Hating Problm.. After using 8 days. Only This phon Suport airtel Sim so plz Suggest Don't buy This Phone
1,I purchased this Realme C30 in last week. But it is not mentioned that it will only work with AIRTEL sim. Actually the real situation is this phone will work only with AIRTEL sim. The phone is locked with an Airtel Lock.
1,"Never purchase this phone,and replacement policy is very bad.do'nt waste Ur money"
1,The mobile is overall good in this price but the service of flipkart is not at all good at this time
1,Not good
1,This is not good in this range
1,I received not working internal demage products... I already many time complaint but they didn't solution and they didn't return our realme C30... Plz don't buy. Bad to worst products... Plz do solution soon as possible
1,Not value for money
1,"Worst phone do not waste your 💰 money..if u complain about issue of performance.. Flipkart is goona show u their back..worst experience,."
1,Bad mobile
1,"Don't buy this mobile, the product is very bad, work only airtel incoming calls"
1,The phone is good. Just the camera is under average. Would have been happier if the camera was decent and 3gb ram.
1,bad camara
1,"Unsatisfied with the phone , and Flipkart service."
1,Very disappointed..ram management is very very bad...battery drain so fast as normal uses...I don't know why it's happen...it's provide 5000 mah battery but still drain too fast
1,This phone hitting problem display quality is very low and change very slow 3 hours charging time don't best money this phone
1,Phone get lock if Airtel sim not interested in phone 😔😔
1,Sound quality is very poor don't by this phone weast of money
1,"worst product don't buy this camera not good sound not good
and also without airtel sim, you can not use this phone"
1,"Looked by airtel, this is not a good thing and this product is very bad from flipkart, if it is banded by airtel offer, otherwise there is no such cheap online shopping market like flipkart."
1,Bad Smartphone
1,Bad
1,Don't bay this product
1,I want to return this mbl ...waste of money. ....that rubbish Airtel lock
1,Very poor performance this phone ...pls not buy this phone ..I am very disappoint buy this phone
1,Waste mobile realme
1,Jio phone no supporting not good
1,Third class phone
1,Plz Don't Buy This Phon Any One Camera Quality Is Verry Poor Battery fast verry Discharge. Hating Problm.. After using 8 days. Only This phon Suport airtel Sim so plz Suggest Don't buy This Phone
1,I purchased this Realme C30 in last week. But it is not mentioned that it will only work with AIRTEL sim. Actually the real situation is this phone will work only with AIRTEL sim. The phone is locked with an Airtel Lock.
1,"Never purchase this phone,and replacement policy is very bad.do'nt waste Ur money"
1,The mobile is overall good in this price but the service of flipkart is not at all good at this time
1,Not good
1,This is not good in this range
1,I received not working internal demage products... I already many time complaint but they didn't solution and they didn't return our realme C30... Plz don't buy. Bad to worst products... Plz do solution soon as possible
1,Not value for money
1,"Worst phone do not waste your 💰 money..if u complain about issue of performance.. Flipkart is goona show u their back..worst experience,."
1,Bad mobile
1,"Don't buy this mobile, the product is very bad, work only airtel incoming calls"
1,The phone is good. Just the camera is under average. Would have been happier if the camera was decent and 3gb ram.
1,bad camara
1,"Unsatisfied with the phone , and Flipkart service."
1,Very disappointed..ram management is very very bad...battery drain so fast as normal uses...I don't know why it's happen...it's provide 5000 mah battery but still drain too fast
1,This phone hitting problem display quality is very low and change very slow 3 hours charging time don't best money this phone
1,Phone get lock if Airtel sim not interested in phone 😔😔
1,Sound quality is very poor don't by this phone weast of money
1,"worst product don't buy this camera not good sound not good
and also without airtel sim, you can not use this phone"
1,"Looked by airtel, this is not a good thing and this product is very bad from flipkart, if it is banded by airtel offer, otherwise there is no such cheap online shopping market like flipkart."
1,Bad Smartphone
1,Bad
1,Don't bay this product
1,I want to return this mbl ...waste of money. ....that rubbish Airtel lock
1,Very poor performance this phone ...pls not buy this phone ..I am very disappoint buy this phone
1,Waste mobile realme
1,Jio phone no supporting not good
1,Third class phone
1,worst product
1,"Camera quality is very very bad
Battery is very poor
Charge very slow"
1,Hangs to much..... automatically switches off without no reason...very slow working
1,Waste of money
1,"don't buy it, camera result not good and display brightness low."
1,"Worst camera ever, don't buy this phone u waste ur money and time also"
1,Not a gud product
1,Very poor and cheap quality camera
1,RAM 4 gb only on this price not good
1,Camera quality is very bad
1,Very bad product don't purchase .I m perchase last monthe too much more hanging problem
1,Very bad product
1,"Reviewing again after 5 months. At the beginning the battery and performance was good but it degraded soon. Also I was facing heating issues. The mobile will heat up like a stove sometimes. You cannot even play Pubg even in low settings properly, performance is not a problem but heating is. Also if you play that game for 10 mins the brightness will be automatically down due to over heating even when the auto brightness is set to off. This will not be solved even if u manually increase the bri...
READ MORE"
1,"Phone is awesome no doubt. But Camera & Display is not great. Performance is mind blowing.
But the phone is heating too much when charging or when you regularly used. It's experience after using 1 week. It's heating extrem when I play PUBG for 30 minutes.
Go for iPhone 11 pro or 12. Otherwise go for Android phone you will get much better phone in less price."
1,"Worst product delivered by Flipkart
After 10days of delivery mobile will not work properly
Volume and silent buttons are not working.
No worth to buy in Flipkart.
Please don’t buy apple products in Flipkart"
1,"Reviewing again after 5 months. At the beginning the battery and performance was good but it degraded soon. Also I was facing heating issues. The mobile will heat up like a stove sometimes. You cannot even play Pubg even in low settings properly, performance is not a problem but heating is. Also if you play that game for 10 mins the brightness will be automatically down due to over heating even when the auto brightness is set to off. This will not be solved even if u manually increase the bri...
READ MORE"
1,"Phone is awesome no doubt. But Camera & Display is not great. Performance is mind blowing.
But the phone is heating too much when charging or when you regularly used. It's experience after using 1 week. It's heating extrem when I play PUBG for 30 minutes.
Go for iPhone 11 pro or 12. Otherwise go for Android phone you will get much better phone in less price."
1,"Worst product delivered by Flipkart
After 10days of delivery mobile will not work properly
Volume and silent buttons are not working.
No worth to buy in Flipkart.
Please don’t buy apple products in Flipkart"
1,"Positive Site ::——

1. Performance – is very good
2. Display – Display is good but it would have been better if it was a little brighter but ok
3. Fingerprint sensor and Face unlock is very fast

Negative Site ::——
1. Camera – The quality of the camera is not good at all, the detailing does not come at all, better than this, photos are clicked in Redmi 9 Power
2. Battery – Battery performance is fine but charging is very slow, from 0% to 50% it takes 35 to 40 minutes but it takes 1:30 hours t...
READ MORE"
1,Fingerprint sensor key didn't respond even to lock/unlock the display of the phone for one day. So wasn't able to even restart the phone. Then it started to work fine on its own. Camera is average. Display is just fine but quality issues r main concern. Refund request raised is still unanswered. Better to go with Samsung.
1,Except camera this phone was not an upgrade to my realme 3 pro. Sold it within 8 months of usage. Slow and hangs. Multiple problems in calling like mic sensitivity. Camera is good but I hardly care about it. Not worth the price unless camera is essentially important to you
1,"Reviewing again after 5 months. At the beginning the battery and performance was good but it degraded soon. Also I was facing heating issues. The mobile will heat up like a stove sometimes. You cannot even play Pubg even in low settings properly, performance is not a problem but heating is. Also if you play that game for 10 mins the brightness will be automatically down due to over heating even when the auto brightness is set to off. This will not be solved even if u manually increase the bri...
READ MORE"
1,"Phone is awesome no doubt. But Camera & Display is not great. Performance is mind blowing.
But the phone is heating too much when charging or when you regularly used. It's experience after using 1 week. It's heating extrem when I play PUBG for 30 minutes.
Go for iPhone 11 pro or 12. Otherwise go for Android phone you will get much better phone in less price."
1,"Worst product delivered by Flipkart
After 10days of delivery mobile will not work properly
Volume and silent buttons are not working.
No worth to buy in Flipkart.
Please don’t buy apple products in Flipkart"
1,"Bought this for my parents.. Sound quality over earpiece is terrible and over speaker is even worse than that. I am having trouble hearing the sound and my parents sure can't hear anything

Very bad phone, terribly disappointed with Xiaomi, have bought only MI phones always, one of the very few times I have been let down by Xiaomi.

Planning to return this phone, and go with a trusted model, I hope there are no issues in return"
1,"Worst camera ,
Heating problem,
Hangs every time,
It's like less than 1gb ram.
Also they cancelled my return.
Never buy this garbage."
1,Battery is getting low at very less period of time with out using atleast phone calls also.
1,Very bad phone redmi 9 i
1,Mobile heated when charging
1,Its ok within one month hanging a lot and battery life goes within hours
1,Very very waste camera mobile ok but camera problem
1,"Seller is cheating and delivering corrupted mobiles.
After return policy completed
Phone hanging even though I have not even stored anything on my internal and external memory, updated the OS as well.
Sound is very low over ear piece and speaker
Battery performance worst. Within 2 hours on standby mode charging dropped by 10%.
Heating issue. I purchased Redmi 8 but even after 2 years its performing excellently.
No finger print reader."
1,Total waste of money
1,"Sound stop automatically, turn on on restart"
1,Don't buy this product is worth less
1,"Right earbud not charging , battery backup only 2 hours"
1,3days working after 3days one side not working..so bad experience
1,Third quality product.... Some Times automatically disconnected.
1,"Pls don't buy this product.
It has connecting issues.
It did not connect automatically.
And if you connect it and play song and put your mobile in your pants pocket it disconnects.
And some times one side earpiece stoped automatically.
And they said if you put earbuds is case it poffer off and turn charging mode automatically it's not like that. I put my both earbuds in the case and it stays connected to the phone.
And other it many more other issues.
Plss don't waste on this product. I am re...
READ MORE"
1,I hate product iam 2 times purchase this product
1,One side earbuds is not working...its a bad quality don't buy this product....
1,"Mic stopped working after few days, poor all quality, good for watching movies"
1,No bass think twice before buy
1,Call voice not audible
1,"I don't even want to give it one star.
From the time I have purchased it, I'm having issues.
It is changing music on its own whether you keep your phone outside or in your pocket.
I'm using One plus 5 phone, I thought that there may be some issues with my phone only, therefore I connected it with Samsung J7 prime and again the same issue persist.
Don't know what to do with this earbuds now.
There is also no replacement for the same.
Can anyone please help."
1,Battery capacity is very low and right side buds is very low
1,This quality not good and very bad
1,Teach problem
1,During oncall voice is hearing too low
1,Left side ear but no working sound issues signal issues charging issue
1,Very bad quality
1,"Touch control is poor
Touch is Not Working"
1,Worse product I ever have have!!! It's almost 2 months now and both the ear buds stop working. Please do not buy!!!!!!!!
1,The saund quality is the not good and got worse within one month
1,Sensors is not working properly
1,Bad
1,Scratched on the ear pods Out side
1,"Sound quality is good, but calling is not good as well ... Bass good .
Don't go for calling"
1,Worst response from Flipkart i received a product is problem one side speaker is not working so I told give me replacement of the product r refund till now not responding so guy don't buy from Flipkart
1,I DONT LIKE DEVICE SOUND QUALITY . I WANT REFUND AGAINST THIS PRODUCT . I WANT TO BUY ONE PLUS BULLETS Z SERIES BASS EDITION . THIS PRODUCT IS VERY POOR IN QUALITY . UR TEAM DO NOT HELP ME . POOR SERVICE BY UR TEAM
1,Worst product i bought in my life
1,"I reccomand not to buy this headset .
Sometimes got stuck for 1sec gap ..
This irritates me ...and annoying
Since Charger port lid always open sweating got inside that .
Mic in this headset is not so clearly audible ... while using the mic for phone calls I get to hold the mic region near my mouth"
1,One hearing very low sound
1,Very bad noise cancellation not working
1,I DONT LIKE DEVICE SOUND QUALITY . I WANT REFUND AGAINST THIS PRODUCT . I WANT TO BUY ONE PLUS BULLETS Z SERIES BASS EDITION . THIS PRODUCT IS VERY POOR IN QUALITY . UR TEAM DO NOT HELP ME . POOR SERVICE BY UR TEAM
1,Unable to conect the device
1,"This is good for music but not good for calling.
Don’t buy for calling"
1,"Mark my words @OnePlus, take my review seriously. If you manufacture rubbish type of product then your #Market Hegemony will be destroy & decimate within a year as u compromised with built quality... Disappointed at all... Not proper sound and noise cancellation is like worse... absolutely Dull product."
1,It's a bad device on my life
1,"Item Not delivered , but in app it is updated as delivered , bad experience , till now unable to resolve the issue
Contacted multiple times .unprofessional behaviour didn't expect this to happen had lot of difficult time following up"
1,"Sound quality is good, but calling is not good as well ... Bass good .
Don't go for calling"
1,Worst response from Flipkart i received a product is problem one side speaker is not working so I told give me replacement of the product r refund till now not responding so guy don't buy from Flipkart
1,I DONT LIKE DEVICE SOUND QUALITY . I WANT REFUND AGAINST THIS PRODUCT . I WANT TO BUY ONE PLUS BULLETS Z SERIES BASS EDITION . THIS PRODUCT IS VERY POOR IN QUALITY . UR TEAM DO NOT HELP ME . POOR SERVICE BY UR TEAM
1,Worst product i bought in my life
1,"I reccomand not to buy this headset .
Sometimes got stuck for 1sec gap ..
This irritates me ...and annoying
Since Charger port lid always open sweating got inside that .
Mic in this headset is not so clearly audible ... while using the mic for phone calls I get to hold the mic region near my mouth"
1,One hearing very low sound
1,Very bad noise cancellation not working
1,I DONT LIKE DEVICE SOUND QUALITY . I WANT REFUND AGAINST THIS PRODUCT . I WANT TO BUY ONE PLUS BULLETS Z SERIES BASS EDITION . THIS PRODUCT IS VERY POOR IN QUALITY . UR TEAM DO NOT HELP ME . POOR SERVICE BY UR TEAM
1,Unable to conect the device
1,"This is good for music but not good for calling.
Don’t buy for calling"
1,"Mark my words @OnePlus, take my review seriously. If you manufacture rubbish type of product then your #Market Hegemony will be destroy & decimate within a year as u compromised with built quality... Disappointed at all... Not proper sound and noise cancellation is like worse... absolutely Dull product."
1,It's a bad device on my life
1,"Item Not delivered , but in app it is updated as delivered , bad experience , till now unable to resolve the issue
Contacted multiple times .unprofessional behaviour didn't expect this to happen had lot of difficult time following up"
1,"Pls don't buy this product.Less than a month after I bought it, the left headphone still does not work😔
❌️❌️❌️❌️❌️❌️❌️❌️❌️❗️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️"
1,"Bad product don't buy
1 time I have got without mic,mic doesn't work I thought next will batter thay I will replacement and I shock next will earphone it's not work
I will no recomend to customer to buy this product"
1,"After 24days it's not working 🥺
Don't buy this 😓😓😓😓"
1,mic problem
1,"Worst product . Left side earphone stop working in few days.
Please don't purchase it, purchase boat or other brand earphones."
1,Dont buy very poor quality.
1,Bad product
1,For call quality very worst
1,Mic conditions not warking
1,Not good quality
1,My Aroma Product not working on and off not working
1,No PIN of charge attached 😠😡😥
1,Not good
1,Not good
1,nice product
1,It is Not good product
1,Waste
1,Bad product
1,Battery backup not up to 28 hours
1,So sad
1,"Pls dont go for this . Its battery drain 90% to 20% in just one song play worst, it's not fake review. See images , time and battery %"
1,"Phone cell pesum pothu sound quality not use
Very bad.....😡"
1,Dont buy this product.. After a 2 week 1 spiker pblm
1,Voice quality for calls are soo bad
1,Hi Flipkart .im your regular customer i have bought so many item but this tym I'm so disappointed with the quality of boat airbuds 161 before it' was working good after use of 3-4 days the battery drained so fastly and left side airbuds not working .
1,Right airdopes not working after 7 days replacement period is over.
1,"After one month one side is not working
Bad experience"
1,Too vastee of money
1,This is worrest product frnds theesukoni mosapovaddu battery pickup ledhu theesukunna 3 days ki battery pickup padipoyindhi naa life lo first time mosapoyaa
1,Mic quality very worst
1,Battery backup not bad but good
1,Third class my one sideed airbods not working and still 25 days only i purchased. Not charging. And contct seller did not receiving the calll dont purchase.
1,White is bad airdopes
1,Very poor product by boat
1,it is not charging properly
1,"Not a good product.
After 1 month of use I faced many problems like charging issues, automatically disconnected etc so I request you to all not buy this product because of its cheaper prices. Now I'm searching for service centres 😂."
